T1,T2,T3,T4,X,Y
546,717,496,494,35.863008945503466,40.565780596635605
545,719,498,494,35.63432226554136,40.35543571215149
543,725,499,494,34.890958721396395,40.31660885823531
539,734,499,494,34.013012616896866,40.18243104053113
537,739,500,494,33.44714312450756,40.048093753273676
535,746,500,494,32.51971814805547,40.099245569647536
534,754,501,494,31.164228385828885,40.24478696124059
534,759,502,494,30.17828755374979,40.37341985295016
532,766,502,494,29.231451351004452,40.33928334285241
531,771,502,494,28.462417917849432,40.36201896855242
531,777,502,494,27.286999845755307,40.53640649091459
530,782,502,494,26.511437409302985,40.518994652731706
529,787,502,494,25.52600641869855,40.616553883188224
519,797,502,494,25.803495021906087,39.34668878283759
512,804,503,494,25.81078537497268,38.45698347407529
502,813,503,494,25.948073759989615,37.30324623020563
494,821,504,494,25.905491735011044,36.296130666932456
485,829,504,494,26.16277556202129,35.05240814190524
476,836,506,494,26.19300463258466,34.01755462889878
467,843,506,494,26.371420792281548,32.967018617556974
459,852,506,494,25.9803020434857,32.10015455535871
450,859,507,495,26.031452010973766,30.983547761630415
442,865,508,494,26.10562215807639,29.978343176116063
433,873,509,494,26.097714691303768,28.877157382590312
426,877,510,494,26.14206724807422,27.996508389300224
